# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 584796880.000000 177.911500 0.000129909
1 584796960.000000 178.015500 0.000129879
2 584797040.000000 178.129000 0.00012985
3 584797120.000000 178.245500 0.000129879
4 584797200.000000 178.358000 0.00012982
5 584797280.000000 178.476500 0.00012979
6 584797360.000000 178.589000 0.00012979
7 584797440.000000 178.704000 0.00012976
8 584797520.000000 178.816500 0.00012979
9 584797600.000000 178.934500 0.00012973
10 584797680.000000 179.049500 0.00012973
11 584797760.000000 179.165000 0.00012973
12 584797840.000000 179.278000 0.00012979
13 584797920.000000 179.395000 0.00012979
14 584798000.000000 179.511000 0.00012973
15 584798080.000000 179.623000 0.00012976
16 584798160.000000 179.740000 0.00012973
17 584798240.000000 179.851000 0.00012973
18 584798320.000000 179.970000 0.00012982
19 584798400.000000 180.083500 0.00012979
20 584798480.000000 180.201000 0.00012979
21 584798560.000000 180.313500 0.00012973
22 584798640.000000 180.431000 0.00012973
23 584798720.000000 180.545500 0.000129701
24 584798800.000000 180.661000 0.000129701
25 584798880.000000 180.775000 0.00012973
26 584798960.000000 180.889500 0.00012979
27 584799040.000000 181.006000 0.00012973
28 584799120.000000 181.119000 0.00012973
29 584799200.000000 181.237500 0.00012973
30 584799280.000000 181.354000 0.00012979
31 584799360.000000 181.469500 0.00012973
32 584799440.000000 181.584500 0.00012973
33 584799520.000000 181.704000 0.00012976
34 584799600.000000 181.818000 0.00012976
35 584799680.000000 181.934500 0.000129879
36 584799760.000000 182.053000 0.00012973
37 584799840.000000 182.166500 0.00012976
38 584799920.000000 182.282500 0.00012976
39 584800000.000000 182.397500 0.000129701
40 584800080.000000 182.514500 0.00012973
41 584800160.000000 182.627500 0.000129701
42 584800240.000000 182.745500 0.000129671
43 584800320.000000 182.861000 0.000129701
44 584800400.000000 182.976500 0.000129671
45 584800480.000000 183.093500 0.00012973
46 584800560.000000 183.208500 0.000129641
47 584800640.000000 183.324000 0.000129701
48 584800720.000000 183.439000 0.00012973
49 584800800.000000 183.555500 0.000129671
50 584800881.000000 183.666000 0.000129701
51 584800960.000000 183.783500 0.000129641
52 584801040.000000 183.897500 0.000129701
53 584801120.000000 184.013500 0.000129701
54 584801200.000000 184.128000 0.000129671
55 584801280.000000 184.244000 0.000129641
56 584801360.000000 184.360500 0.000129581
57 584801440.000000 184.475500 0.000129671
58 584801520.000000 184.590000 0.00012973
59 584801600.000000 184.704000 0.000129701
60 584801680.000000 184.818500 0.000129671
61 584801760.000000 184.933000 0.000129641
62 584801840.000000 185.050000 0.000129701
63 584801920.000000 185.164500 0.000129701
64 584802000.000000 185.280000 0.000129671
65 584802080.000000 185.395000 0.000129641
66 584802160.000000 185.512500 0.000129671
67 584802240.000000 185.627500 0.000129641
68 584802320.000000 185.741500 0.00012973
69 584802400.000000 185.859500 0.000129671
70 584802480.000000 185.973000 0.00012973
71 584802560.000000 186.088000 0.000129701
72 584802640.000000 186.202000 0.000129701
73 584802720.000000 186.321500 0.000129701
74 584802800.000000 186.433500 0.000129701
75 584802880.000000 186.552000 0.000129701
76 584802960.000000 186.667500 0.000129671
77 584803040.000000 186.785500 0.00012973
78 584803120.000000 186.899000 0.000129641
79 584803200.000000 187.015500 0.000129641
80 584803280.000000 187.132500 0.00012973
81 584803360.000000 187.245000 0.00012973
82 584803440.000000 187.364500 0.000129671
83 584803520.000000 187.474500 0.000129671
84 584803600.000000 187.593500 0.00012973
85 584803680.000000 187.708500 0.00012979
86 584803760.000000 187.824500 0.000129671
87 584803840.000000 187.940500 0.00012973
88 584803920.000000 188.058000 0.000129701
89 584804000.000000 188.174000 0.000129671
90 584804080.000000 188.286500 0.000129701
91 584804160.000000 188.405000 0.000129641
92 584804240.000000 188.515500 0.000129701
93 584804320.000000 188.633500 0.00012973
94 584804400.000000 188.746000 0.000129701
95 584804480.000000 188.861500 0.000129641
96 584804560.000000 188.975000 0.00012973
97 584804640.000000 189.094000 0.00012973
98 584804720.000000 189.208500 0.000129701
99 584804800.000000 189.323500 0.00012973
100 584804880.000000 189.440500 0.00012973
101 584804960.000000 189.553000 0.000129641
102 584805040.000000 189.669000 0.00012973
103 584805120.000000 189.780500 0.00012973
104 584805200.000000 189.898500 0.000129671
105 584805280.000000 190.012000 0.000129701
106 584805360.000000 190.129500 0.00012979
107 584805440.000000 190.241500 0.00012979
108 584805520.000000 190.360000 0.00012979
109 584805600.000000 190.474500 0.00012976
110 584805680.000000 190.590500 0.000129701
111 584805760.000000 190.704000 0.00012973
112 584805840.000000 190.820500 0.00012979
113 584805920.000000 190.936000 0.00012982
114 584806000.000000 191.047500 0.00012976
115 584806080.000000 191.166000 0.00012979
116 584806160.000000 191.281000 0.00012982
117 584806240.000000 191.397000 0.00012979
118 584806320.000000 191.512500 0.00012982
119 584806400.000000 191.630500 0.00012985
120 584806480.000000 191.744500 0.00012982
121 584806560.000000 191.862500 0.00012976
122 584806640.000000 191.977000 0.00012979
123 584806720.000000 192.093500 0.00012976
124 584806800.000000 192.213000 0.00012979
125 584806880.000000 192.324000 0.00012979
126 584806960.000000 192.443000 0.00012973
127 584807040.000000 192.557500 0.00012979
128 584807120.000000 192.672000 0.00012979
129 584807200.000000 192.786500 0.00012976
130 584807280.000000 192.903000 0.00012979
131 584807360.000000 193.019500 0.00012982
132 584807440.000000 193.133500 0.00012973
133 584807520.000000 193.252000 0.00012976
134 584807600.000000 193.366500 0.00012985
135 584807680.000000 193.483000 0.00012979
136 584807760.000000 193.598000 0.00012982
137 584807840.000000 193.716000 0.00012973
138 584807920.000000 193.827000 0.00012985
139 584808000.000000 193.945000 0.00012976
140 584808080.000000 194.060000 0.00012979
141 584808160.000000 194.174000 0.00012979
142 584808240.000000 194.290000 0.00012985
143 584808320.000000 194.404000 0.00012973
144 584808400.000000 194.519500 0.00012982
145 584808480.000000 194.635000 0.00012979
146 584808560.000000 194.750000 0.00012979
147 584808640.000000 194.863500 0.000129879
148 584808720.000000 194.979500 0.00012985
149 584808800.000000 195.094000 0.00012982
150 584808880.000000 195.209000 0.00012985
151 584808960.000000 195.323500 0.00012985
152 584809040.000000 195.441000 0.00012985
153 584809120.000000 195.556500 0.000129879
154 584809200.000000 195.672000 0.00012985
155 584809280.000000 195.787500 0.00012985
156 584809360.000000 195.903000 0.000129879
157 584809440.000000 196.017500 0.000129969
158 584809520.000000 196.132000 0.000129879
159 584809600.000000 196.250500 0.000129879
160 584809680.000000 196.364500 0.000129879
161 584809760.000000 196.480000 0.00012982
162 584809840.000000 196.595500 0.000129939
163 584809920.000000 196.711500 0.000129879
164 584810000.000000 196.826500 0.000129879
165 584810080.000000 196.944500 0.000129879
166 584810160.000000 197.060500 0.00012985
167 584810240.000000 197.174500 0.00012985
168 584810320.000000 197.291500 0.00012985
169 584810400.000000 197.406500 0.000129939
170 584810480.000000 197.525000 0.000129909
171 584810560.000000 197.636500 0.00012985
172 584810640.000000 197.756500 0.00012985
173 584810720.000000 197.867500 0.00012985
174 584810800.000000 197.984500 0.00012982
175 584810880.000000 198.101000 0.00012985
176 584810960.000000 198.217500 0.00012985
177 584811040.000000 198.332500 0.00012979
178 584811120.000000 198.447000 0.00012985
179 584811200.000000 198.563500 0.00012982
180 584811280.000000 198.676000 0.000129879
181 584811360.000000 198.794000 0.00012982
182 584811440.000000 198.906000 0.000129879
183 584811520.000000 199.022000 0.000129879
184 584811600.000000 199.136500 0.000129909
185 584811680.000000 199.254500 0.00012985
186 584811760.000000 199.366500 0.000129939
187 584811840.000000 199.483500 0.000129879
188 584811920.000000 199.600000 0.00012985
189 584812000.000000 199.714000 0.000129939
190 584812080.000000 199.831500 0.000129909
191 584812160.000000 199.945000 0.000129969
192 584812240.000000 200.062000 0.000129939
193 584812320.000000 200.174500 0.000129879
194 584812400.000000 200.294500 0.00012985
195 584812480.000000 200.404500 0.00012985
196 584812560.000000 200.519000 0.000129939
197 584812640.000000 200.633500 0.00012982
198 584812720.000000 200.751000 0.000129879
199 584812800.000000 200.865500 0.000129879
