# SAMPLE - ONE ARM SCANS
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 455699040.000000 168.012500 0.000149907
1 455699120.000000 168.159500 0.000149758
2 455699200.000000 168.309000 0.000149907
3 455699280.000000 168.462500 0.000149847
4 455699360.000000 168.619000 0.000149847
5 455699440.000000 168.775000 0.000149936
6 455699520.000000 168.928000 0.000149936
7 455699600.000000 169.084000 0.000149847
8 455699680.000000 169.238500 0.000149907
9 455699760.000000 169.391000 0.000149936
10 455699840.000000 169.546500 0.000149996
11 455699920.000000 169.700000 0.000149936
12 455700000.000000 169.853500 0.000149877
13 455700080.000000 170.007500 0.000149936
14 455700160.000000 170.163000 0.000149817
15 455700240.000000 170.320500 0.000149936
16 455700320.000000 170.472500 0.000149877
17 455700400.000000 170.629000 0.000149936
18 455700480.000000 170.785500 0.000149907
19 455700560.000000 170.936500 0.000149847
20 455700640.000000 171.094500 0.000149907
21 455700720.000000 171.251000 0.000149817
22 455700800.000000 171.406000 0.000149847
23 455700880.000000 171.564000 0.000149966
24 455700960.000000 171.719000 0.000149907
25 455701040.000000 171.874500 0.000149996
26 455701120.000000 172.029500 0.000149847
27 455701200.000000 172.183500 0.000149936
28 455701280.000000 172.339000 0.000149907
29 455701360.000000 172.494500 0.000149907
30 455701440.000000 172.651000 0.000149817
31 455701520.000000 172.806000 0.000149787
32 455701600.000000 172.964500 0.000149847
33 455701680.000000 173.116500 0.000149907
34 455701760.000000 173.267500 0.000149877
35 455701840.000000 173.425000 0.000149877
36 455701920.000000 173.580500 0.000149847
37 455702000.000000 173.733500 0.000149966
38 455702080.000000 173.888000 0.000149847
39 455702160.000000 174.044000 0.000149847
40 455702240.000000 174.201500 0.000149907
41 455702320.000000 174.356000 0.000149907
42 455702400.000000 174.508500 0.000149907
43 455702480.000000 174.667500 0.000149847
44 455702560.000000 174.822500 0.000149907
45 455702640.000000 174.976000 0.000149877
46 455702720.000000 175.132000 0.000149847
47 455702800.000000 175.283000 0.000149907
48 455702880.000000 175.439500 0.000149847
49 455702960.000000 175.594500 0.000149877
50 455703040.000000 175.748500 0.000149847
51 455703120.000000 175.904000 0.000149847
52 455703200.000000 176.059000 0.000149907
53 455703280.000000 176.213000 0.000149847
54 455703360.000000 176.370500 0.000149847
55 455703440.000000 176.527000 0.000149847
56 455703520.000000 176.682500 0.000149877
57 455703600.000000 176.837000 0.000149847
58 455703680.000000 176.994500 0.000149817
59 455703760.000000 177.147000 0.000149877
60 455703840.000000 177.302000 0.000149847
61 455703920.000000 177.461000 0.000149758
62 455704000.000000 177.614000 0.000149847
63 455704080.000000 177.771000 0.000149758
