# # SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 457910581.000000 168.018500 0.000200332
1 457910660.000000 168.170000 0.000200392
2 457910740.000000 168.321500 0.000200302
3 457910820.000000 168.471000 0.000200273
4 457910900.000000 168.614500 0.000200332
5 457910980.000000 168.770000 0.000200302
6 457911060.000000 168.923000 0.000200302
7 457911140.000000 169.079000 0.000200392
8 457911220.000000 169.228500 0.000200392
9 457911300.000000 169.384500 0.000200302
10 457911380.000000 169.541500 0.000200362
11 457911460.000000 169.693000 0.000200332
12 457911540.000000 169.847500 0.000200332
13 457911620.000000 169.999500 0.000200302
14 457911700.000000 170.156000 0.000200243
15 457911780.000000 170.312000 0.000200273
16 457911860.000000 170.464500 0.000200362
17 457911940.000000 170.621000 0.000200451
18 457912020.000000 170.777000 0.000200392
19 457912100.000000 170.928000 0.000200332
20 457912180.000000 171.086000 0.000200302
21 457912260.000000 171.243000 0.000200302
22 457912340.000000 171.397500 0.000200362
23 457912420.000000 171.554500 0.000200332
24 457912500.000000 171.710000 0.000200362
25 457912580.000000 171.864000 0.000200392
26 457912660.000000 172.018500 0.000200302
27 457912740.000000 172.177500 0.000200302
28 457912820.000000 172.328500 0.000200302
29 457912900.000000 172.484500 0.000200392
30 457912980.000000 172.643500 0.000200392
31 457913060.000000 172.799500 0.000200362
32 457913140.000000 172.956000 0.000200392
33 457913220.000000 173.109000 0.000200332
34 457913300.000000 173.263500 0.000200302
35 457913380.000000 173.420000 0.000200302
36 457913460.000000 173.572500 0.000200392
37 457913540.000000 173.726500 0.000200392
38 457913620.000000 173.884500 0.000200362
39 457913700.000000 174.037000 0.000200392
40 457913780.000000 174.193500 0.000200392
41 457913860.000000 174.350000 0.000200332
42 457913940.000000 174.503000 0.000200332
43 457914020.000000 174.660500 0.000200362
44 457914100.000000 174.814500 0.000200451
45 457914180.000000 174.968500 0.000200511
46 457914260.000000 175.126000 0.000200451
47 457914340.000000 175.278500 0.000200422
48 457914420.000000 175.434000 0.000200243
49 457914500.000000 175.589500 0.000200392
50 457914580.000000 175.741000 0.000200362
51 457914660.000000 175.896500 0.000200392
52 457914740.000000 176.048500 0.000200422
53 457914820.000000 176.207000 0.000200511
54 457914900.000000 176.363500 0.000200451
55 457914980.000000 176.517000 0.000200392
56 457915060.000000 176.673000 0.000200451
57 457915140.000000 176.829000 0.000200451
58 457915220.000000 176.987000 0.000200362
59 457915300.000000 177.140000 0.000200481
60 457915380.000000 177.293000 0.000200362
61 457915460.000000 177.452000 0.000200302
62 457915540.000000 177.606500 0.000200332
63 457915620.000000 177.761500 0.000200243
64 457915700.000000 177.918000 0.000200362
