# SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 452225220.000000 168.015500 0.000196517
1 452225300.000000 168.158500 0.000196488
2 452225380.000000 168.316000 0.000196398
3 452225460.000000 168.466000 0.000196368
4 452225540.000000 168.619000 0.000196339
5 452225620.000000 168.773500 0.000196398
6 452225700.000000 168.926000 0.000196398
7 452225780.000000 169.084000 0.000196339
8 452225860.000000 169.234500 0.000196309
9 452225940.000000 169.390500 0.000196398
10 452226020.000000 169.547500 0.000196428
11 452226100.000000 169.699000 0.000196368
12 452226180.000000 169.855000 0.000196428
13 452226260.000000 170.006500 0.000196368
14 452226340.000000 170.161000 0.000196368
15 452226420.000000 170.317500 0.000196309
16 452226500.000000 170.473500 0.000196368
17 452226580.000000 170.627000 0.000196398
18 452226660.000000 170.781000 0.000196428
19 452226740.000000 170.936500 0.000196428
20 452226820.000000 171.092500 0.000196249
21 452226900.000000 171.246500 0.000196339
22 452226980.000000 171.404500 0.000196309
23 452227060.000000 171.559500 0.000196428
24 452227140.000000 171.715000 0.000196488
25 452227220.000000 171.873500 0.000196428
26 452227300.000000 172.024500 0.000196428
27 452227380.000000 172.181500 0.000196368
28 452227460.000000 172.338500 0.000196309
29 452227540.000000 172.491000 0.000196368
30 452227620.000000 172.649000 0.000196368
31 452227700.000000 172.805000 0.000196428
32 452227780.000000 172.959000 0.000196488
33 452227860.000000 173.115500 0.000196339
34 452227940.000000 173.270500 0.000196249
35 452228020.000000 173.424000 0.000196219
36 452228100.000000 173.579000 0.000196368
37 452228180.000000 173.735000 0.000196428
38 452228260.000000 173.888500 0.000196488
39 452228340.000000 174.044000 0.000196398
40 452228420.000000 174.201500 0.000196309
41 452228500.000000 174.354500 0.000196368
42 452228580.000000 174.509000 0.000196368
43 452228660.000000 174.667000 0.000196517
44 452228740.000000 174.819000 0.000196547
45 452228820.000000 174.975000 0.000196488
46 452228900.000000 175.132500 0.000196398
47 452228980.000000 175.283500 0.000196219
48 452229060.000000 175.440500 0.000196398
49 452229140.000000 175.596500 0.000196339
50 452229220.000000 175.747000 0.000196309
51 452229300.000000 175.904500 0.000196488
52 452229380.000000 176.059000 0.000196398
53 452229460.000000 176.213500 0.000196398
54 452229540.000000 176.371000 0.000196368
55 452229620.000000 176.527000 0.000196368
56 452229700.000000 176.680500 0.000196309
57 452229780.000000 176.836500 0.000196309
58 452229860.000000 176.995000 0.000196398
59 452229940.000000 177.147000 0.000196339
60 452230020.000000 177.299500 0.000196368
61 452230100.000000 177.457000 0.000196339
62 452230180.000000 177.611500 0.000196249
63 452230260.000000 177.770000 0.000196309
64 452230340.000000 177.923500 0.000196279
