#NO SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 450628323.000000 168.009500 0.000209154
1 450628400.000000 168.162000 0.000209243
2 450628480.000000 168.313000 0.000209094
3 450628560.000000 168.459500 0.000208975
4 450628640.000000 168.624000 0.000209005
5 450628720.000000 168.776500 0.000209034
6 450628800.000000 168.923500 0.000209154
7 450628880.000000 169.073000 0.000209154
8 450628960.000000 169.222000 0.000209154
9 450629040.000000 169.377500 0.000208975
10 450629120.000000 169.534000 0.000209034
11 450629200.000000 169.686500 0.000209064
12 450629280.000000 169.841000 0.000209064
13 450629360.000000 169.996500 0.000209183
14 450629440.000000 170.148500 0.000209064
15 450629520.000000 170.304500 0.000209064
16 450629600.000000 170.458500 0.000209064
17 450629680.000000 170.615500 0.000209154
18 450629760.000000 170.768000 0.000209154
19 450629840.000000 170.922500 0.000209154
20 450629920.000000 171.079500 0.000209064
21 450630000.000000 171.234500 0.000209094
22 450630080.000000 171.393000 0.000208975
23 450630160.000000 171.550000 0.000209064
24 450630240.000000 171.703000 0.000209183
25 450630320.000000 171.860500 0.000209154
26 450630400.000000 172.011500 0.000209064
27 450630480.000000 172.168000 0.000209064
28 450630560.000000 172.321500 0.000209124
29 450630640.000000 172.478000 0.000209154
30 450630720.000000 172.637000 0.000209213
31 450630800.000000 172.790500 0.000209154
32 450630880.000000 172.947000 0.000209213
33 450630960.000000 173.102500 0.000209094
34 450631040.000000 173.253500 0.000208975
35 450631120.000000 173.411000 0.000209094
36 450631200.000000 173.565500 0.000208975
37 450631280.000000 173.718000 0.000209094
38 450631360.000000 173.874500 0.000209094
39 450631440.000000 174.030000 0.000209064
40 450631520.000000 174.185500 0.000208975
41 450631600.000000 174.339500 0.000208915
42 450631680.000000 174.496500 0.000208915
43 450631760.000000 174.649500 0.000208975
44 450631840.000000 174.804000 0.000209154
45 450631920.000000 174.961500 0.000209183
46 450632000.000000 175.113500 0.000209094
47 450632080.000000 175.268500 0.000209034
48 450632160.000000 175.425000 0.000209005
49 450632240.000000 175.578000 0.000208975
50 450632320.000000 175.733000 0.000209034
51 450632400.000000 175.890500 0.000209094
52 450632480.000000 176.044000 0.000209183
53 450632560.000000 176.200000 0.000209154
54 450632640.000000 176.357000 0.000209124
55 450632720.000000 176.509500 0.000209094
56 450632800.000000 176.668000 0.000209005
57 450632880.000000 176.823000 0.000209034
58 450632960.000000 176.978500 0.000209124
59 450633040.000000 177.134000 0.000209183
60 450633120.000000 177.286500 0.000209154
61 450633200.000000 177.444000 0.000209154
62 450633280.000000 177.599000 0.000209064
63 450633360.000000 177.756500 0.000208975
64 450633440.000000 177.911000 0.000209034
