#  SAMPLE- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2636895840.000000 207.973500 0.000104905
1 2636895920.000000 208.126500 0.000104875
2 2636896000.000000 208.282000 0.000104875
3 2636896080.000000 208.439000 0.000104905
4 2636896160.000000 208.590000 0.000104905
5 2636896240.000000 208.745500 0.000104815
6 2636896320.000000 208.902000 0.000104815
7 2636896400.000000 209.055500 0.000104785
8 2636896480.000000 209.208500 0.000104815
9 2636896560.000000 209.363000 0.000104845
10 2636896640.000000 209.520500 0.000104815
11 2636896720.000000 209.675500 0.000104756
12 2636896800.000000 209.827500 0.000104785
13 2636896880.000000 209.983500 0.000104756
14 2636896960.000000 210.138000 0.000104785
15 2636897040.000000 210.295000 0.000104785
16 2636897120.000000 210.447500 0.000104756
17 2636897200.000000 210.602500 0.000104726
18 2636897280.000000 210.758000 0.000104756
19 2636897360.000000 210.912000 0.000104696
20 2636897440.000000 211.069000 0.000104696
21 2636897520.000000 211.223000 0.000104696
22 2636897600.000000 211.376000 0.000104726
23 2636897680.000000 211.534000 0.000104666
24 2636897760.000000 211.686500 0.000104726
25 2636897840.000000 211.843000 0.000104666
26 2636897920.000000 212.001000 0.000104636
27 2636898000.000000 212.152500 0.000104636
