# # NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4055742480.000000 168.002500 0.000215829
1 4055742560.000000 168.156000 0.0002158
2 4055742640.000000 168.308500 0.0002158
3 4055742720.000000 168.464500 0.00021571
4 4055742800.000000 168.621500 0.000215859
5 4055742880.000000 168.774500 0.000215859
6 4055742960.000000 168.929500 0.000215919
7 4055743040.000000 169.086500 0.000215859
8 4055743120.000000 169.238000 0.000215859
9 4055743200.000000 169.395000 0.000215919
10 4055743280.000000 169.547000 0.000215829
11 4055743360.000000 169.701000 0.00021574
12 4055743440.000000 169.858500 0.00021571
13 4055743520.000000 170.013500 0.00021568
14 4055743600.000000 170.164500 0.00021577
15 4055743680.000000 170.318500 0.00021577
16 4055743760.000000 170.474000 0.000215859
17 4055743840.000000 170.630000 0.000215829
18 4055743920.000000 170.784500 0.00021577
19 4055744000.000000 170.935500 0.0002158
20 4055744080.000000 171.094500 0.00021574
21 4055744160.000000 171.250000 0.0002158
22 4055744240.000000 171.403500 0.000215651
23 4055744320.000000 171.561500 0.000215651
24 4055744400.000000 171.717000 0.00021571
25 4055744480.000000 171.875500 0.000215859
26 4055744560.000000 172.027500 0.000215829
27 4055744640.000000 172.184000 0.0002158
28 4055744720.000000 172.340500 0.00021568
29 4055744800.000000 172.494000 0.00021568
30 4055744880.000000 172.652000 0.00021568
31 4055744960.000000 172.807000 0.00021574
32 4055745040.000000 172.962000 0.00021577
33 4055745120.000000 173.119000 0.00021571
34 4055745200.000000 173.269500 0.00021571
35 4055745280.000000 173.426500 0.00021571
36 4055745360.000000 173.581500 0.00021574
37 4055745440.000000 173.736000 0.00021574
38 4055745520.000000 173.890500 0.00021568
39 4055745600.000000 174.045500 0.000215591
40 4055745680.000000 174.203000 0.000215621
41 4055745760.000000 174.356000 0.000215621
42 4055745840.000000 174.511000 0.00021571
43 4055745920.000000 174.668500 0.00021571
44 4055746000.000000 174.823500 0.00021571
45 4055746080.000000 174.976500 0.000215651
46 4055746160.000000 175.134500 0.000215651
47 4055746240.000000 175.284500 0.000215591
48 4055746320.000000 175.441000 0.00021568
49 4055746400.000000 175.596500 0.000215531
50 4055746480.000000 175.748500 0.000215561
51 4055746560.000000 175.906500 0.000215591
52 4055746640.000000 176.062000 0.00021568
53 4055746720.000000 176.216000 0.00021571
54 4055746800.000000 176.375000 0.00021571
55 4055746880.000000 176.526000 0.000215591
56 4055746960.000000 176.683500 0.000215561
57 4055747040.000000 176.838000 0.000215651
58 4055747120.000000 176.993500 0.00021568
59 4055747200.000000 177.149000 0.000215651
60 4055747280.000000 177.303500 0.000215651
