# #NO  SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4054703904.000000 168.020000 0.000215978
1 4054703980.000000 168.165000 0.000216008
2 4054704060.000000 168.314500 0.000216008
3 4054704140.000000 168.465000 0.000215978
4 4054704220.000000 168.615000 0.000216068
5 4054704300.000000 168.762500 0.000216157
6 4054704380.000000 168.915500 0.000216187
7 4054704460.000000 169.071500 0.000216247
8 4054704540.000000 169.225500 0.000216217
9 4054704620.000000 169.381500 0.000216127
10 4054704700.000000 169.535500 0.000216008
11 4054704780.000000 169.687000 0.000215978
12 4054704860.000000 169.844000 0.000215949
13 4054704940.000000 169.994500 0.000215859
14 4054705020.000000 170.150000 0.000216038
15 4054705100.000000 170.308000 0.000216098
16 4054705180.000000 170.458500 0.000216098
17 4054705260.000000 170.614500 0.000216098
18 4054705340.000000 170.766500 0.000216008
19 4054705420.000000 170.923500 0.000216008
20 4054705500.000000 171.081500 0.000215949
21 4054705580.000000 171.235000 0.000216008
22 4054705660.000000 171.392500 0.000215889
23 4054705740.000000 171.547500 0.000215919
24 4054705820.000000 171.703000 0.000216038
25 4054705900.000000 171.860500 0.000215949
26 4054705980.000000 172.011500 0.000216038
27 4054706060.000000 172.169000 0.000216068
28 4054706140.000000 172.327000 0.000215978
29 4054706220.000000 172.481000 0.000215859
30 4054706300.000000 172.637000 0.0002158
31 4054706380.000000 172.794500 0.000215889
32 4054706460.000000 172.948500 0.000215919
33 4054706540.000000 173.103000 0.000215949
34 4054706620.000000 173.258500 0.000215889
35 4054706700.000000 173.414500 0.000215919
36 4054706780.000000 173.566500 0.000216008
37 4054706860.000000 173.721000 0.000216038
38 4054706940.000000 173.877000 0.000215978
39 4054707020.000000 174.030500 0.000215919
40 4054707101.000000 174.187500 0.000215829
41 4054707180.000000 174.343500 0.000215859
42 4054707260.000000 174.496500 0.000215949
43 4054707340.000000 174.653500 0.000215949
44 4054707420.000000 174.804500 0.000216008
45 4054707500.000000 174.961500 0.000215919
46 4054707580.000000 175.118500 0.000215919
47 4054707660.000000 175.269000 0.000215889
48 4054707740.000000 175.425500 0.000215859
49 4054707820.000000 175.581500 0.000215919
50 4054707900.000000 175.734000 0.000215859
51 4054707980.000000 175.891500 0.000215859
52 4054708060.000000 176.045000 0.000215919
53 4054708140.000000 176.201000 0.000215949
54 4054708220.000000 176.357500 0.000215949
55 4054708300.000000 176.513500 0.000215978
56 4054708380.000000 176.667000 0.000215889
57 4054708460.000000 176.819000 0.000215919
58 4054708540.000000 176.977000 0.000215889
59 4054708620.000000 177.133500 0.00021574
60 4054708700.000000 177.287500 0.000215859
