# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2461430780.000000 207.974000 0.000166119
1 2461430860.000000 208.123000 0.000166119
2 2461430940.000000 208.273000 0.00016603
3 2461431020.000000 208.415500 0.000166119
4 2461431100.000000 208.569500 0.000166089
5 2461431180.000000 208.728000 0.000166119
6 2461431260.000000 208.884000 0.000166089
7 2461431340.000000 209.039500 0.000166059
8 2461431420.000000 209.195000 0.000166
9 2461431500.000000 209.345500 0.00016597
10 2461431580.000000 209.503500 0.00016591
11 2461431660.000000 209.658500 0.000165851
12 2461431740.000000 209.812500 0.00016597
13 2461431820.000000 209.967000 0.000166
14 2461431900.000000 210.121000 0.000166119
15 2461431980.000000 210.280000 0.00016603
16 2461432060.000000 210.431000 0.00016603
17 2461432140.000000 210.582500 0.00016597
18 2461432220.000000 210.740500 0.000165821
19 2461432300.000000 210.894500 0.000165761
20 2461432380.000000 211.050000 0.000165672
21 2461432460.000000 211.205000 0.000165732
22 2461432540.000000 211.358500 0.000165821
23 2461432620.000000 211.515500 0.000166
24 2461432700.000000 211.669000 0.000166089
25 2461432780.000000 211.824000 0.000166089
26 2461432860.000000 211.982000 0.00016603
27 2461432940.000000 212.136500 0.00016591
28 2461433020.000000 212.293000 0.000165672
