# NO  SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2466830480.000000 207.974500 0.000166447
1 2466830560.000000 208.126000 0.000166298
2 2466830640.000000 208.281500 0.000166298
3 2466830720.000000 208.439000 0.000166328
4 2466830801.000000 208.589000 0.000166298
5 2466830880.000000 208.746500 0.000166328
6 2466830960.000000 208.902500 0.000166268
7 2466831040.000000 209.054000 0.000166268
8 2466831120.000000 209.210000 0.000166268
9 2466831200.000000 209.364000 0.000166208
10 2466831280.000000 209.517500 0.000166179
11 2466831360.000000 209.673500 0.000166149
12 2466831440.000000 209.826500 0.000166119
13 2466831520.000000 209.982000 0.000166268
14 2466831600.000000 210.136000 0.000166328
15 2466831680.000000 210.293500 0.000166357
16 2466831760.000000 210.447500 0.000166328
17 2466831840.000000 210.598500 0.000166208
18 2466831920.000000 210.757500 0.00016603
19 2466832000.000000 210.912000 0.000165881
20 2466832080.000000 211.065500 0.000165851
21 2466832160.000000 211.221000 0.00016591
22 2466832240.000000 211.374500 0.00016603
23 2466832320.000000 211.532000 0.000166149
24 2466832400.000000 211.685500 0.000166268
25 2466832480.000000 211.841500 0.000166328
26 2466832560.000000 211.994500 0.000166179
27 2466832640.000000 212.150500 0.000166089
28 2466832720.000000 212.308500 0.000165851
