# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 642341681.000000 168.022500 9.6262e-005
1 642341760.000000 168.168500 9.62322e-005
2 642341840.000000 168.313500 9.63514e-005
3 642341920.000000 168.463500 9.6262e-005
4 642342000.000000 168.612000 9.62322e-005
5 642342080.000000 168.767000 9.62322e-005
6 642342160.000000 168.922000 9.62918e-005
7 642342240.000000 169.076000 9.62918e-005
8 642342320.000000 169.230500 9.62918e-005
9 642342400.000000 169.384500 9.62322e-005
10 642342480.000000 169.540500 9.62322e-005
11 642342560.000000 169.695000 9.62322e-005
12 642342640.000000 169.848500 9.62322e-005
13 642342720.000000 170.002500 9.62024e-005
14 642342800.000000 170.158500 9.60832e-005
15 642342880.000000 170.314500 9.61428e-005
16 642342960.000000 170.466000 9.60832e-005
17 642343040.000000 170.623500 9.6113e-005
18 642343120.000000 170.776000 9.60534e-005
19 642343200.000000 170.931000 9.60235e-005
20 642343280.000000 171.088500 9.60832e-005
21 642343360.000000 171.242500 9.6113e-005
22 642343440.000000 171.400000 9.60534e-005
23 642343520.000000 171.555500 9.60534e-005
24 642343600.000000 171.710500 9.59937e-005
25 642343680.000000 171.868000 9.60534e-005
26 642343760.000000 172.022000 9.60534e-005
27 642343840.000000 172.178000 9.60832e-005
28 642343920.000000 172.331500 9.60832e-005
29 642344000.000000 172.486000 9.58745e-005
30 642344080.000000 172.645000 9.58745e-005
31 642344160.000000 172.801000 9.57851e-005
32 642344240.000000 172.956500 9.58745e-005
33 642344320.000000 173.109500 9.59341e-005
34 642344400.000000 173.265000 9.59937e-005
35 642344480.000000 173.423000 9.60235e-005
36 642344560.000000 173.574000 9.59639e-005
37 642344640.000000 173.725000 9.60534e-005
38 642344720.000000 173.882500 9.59341e-005
39 642344800.000000 174.037500 9.59937e-005
40 642344880.000000 174.194000 9.59341e-005
41 642344960.000000 174.346500 9.59043e-005
42 642345040.000000 174.501500 9.59341e-005
43 642345120.000000 174.660500 9.58149e-005
44 642345200.000000 174.814000 9.58745e-005
45 642345280.000000 174.969000 9.57553e-005
46 642345360.000000 175.120000 9.57553e-005
47 642345440.000000 175.275000 9.57553e-005
48 642345520.000000 175.431000 9.57255e-005
49 642345600.000000 175.587000 9.57553e-005
50 642345680.000000 175.742000 9.57255e-005
51 642345760.000000 175.899000 9.56957e-005
52 642345840.000000 176.051000 9.56659e-005
53 642345920.000000 176.208500 9.56063e-005
54 642346000.000000 176.366000 9.56957e-005
55 642346080.000000 176.518000 9.57255e-005
56 642346160.000000 176.677000 9.56659e-005
57 642346240.000000 176.832500 9.57255e-005
