# #NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4051629900.000000 168.011500 0.000216247
1 4051629980.000000 168.165500 0.000216217
2 4051630060.000000 168.322500 0.000216217
3 4051630140.000000 168.478000 0.000216247
4 4051630220.000000 168.634500 0.000216276
5 4051630300.000000 168.790500 0.000216366
6 4051630380.000000 168.947000 0.000216485
7 4051630460.000000 169.100000 0.000216336
8 4051630540.000000 169.254000 0.000216396
9 4051630620.000000 169.407500 0.000216366
10 4051630700.000000 169.564500 0.000216306
11 4051630780.000000 169.717500 0.000216157
12 4051630860.000000 169.871000 0.000216187
13 4051630940.000000 170.026000 0.000216157
14 4051631020.000000 170.180000 0.000216247
15 4051631100.000000 170.336500 0.000216366
16 4051631180.000000 170.488000 0.000216276
17 4051631260.000000 170.644500 0.000216306
18 4051631340.000000 170.801000 0.000216276
19 4051631420.000000 170.955000 0.000216247
20 4051631500.000000 171.111000 0.000216187
21 4051631580.000000 171.268000 0.000216157
22 4051631660.000000 171.425000 0.000216127
23 4051631740.000000 171.580500 0.000216127
24 4051631820.000000 171.736000 0.000216127
25 4051631900.000000 171.890500 0.000216276
26 4051631980.000000 172.045000 0.000216276
27 4051632060.000000 172.202500 0.000216247
28 4051632140.000000 172.359000 0.000216187
29 4051632220.000000 172.512000 0.000216068
30 4051632300.000000 172.670000 0.000216127
31 4051632380.000000 172.826000 0.000216157
32 4051632460.000000 172.980000 0.000216157
33 4051632540.000000 173.136000 0.000216187
34 4051632620.000000 173.290000 0.000216068
35 4051632700.000000 173.444000 0.000216157
36 4051632780.000000 173.598500 0.000216247
37 4051632860.000000 173.753500 0.000216217
38 4051632940.000000 173.907000 0.000216157
39 4051633020.000000 174.065000 0.000216098
40 4051633100.000000 174.219500 0.000216098
41 4051633180.000000 174.374000 0.000216127
42 4051633260.000000 174.528000 0.000216157
43 4051633340.000000 174.684000 0.000216127
44 4051633420.000000 174.837000 0.000216157
45 4051633500.000000 174.993000 0.000216187
46 4051633580.000000 175.149000 0.000216217
47 4051633660.000000 175.299500 0.000216157
48 4051633740.000000 175.458000 0.000216127
49 4051633820.000000 175.613500 0.000216127
50 4051633900.000000 175.764000 0.000216008
51 4051633980.000000 175.922000 0.000216098
52 4051634060.000000 176.078000 0.000216127
53 4051634140.000000 176.231500 0.000216157
54 4051634220.000000 176.388000 0.000216217
55 4051634300.000000 176.539500 0.000216127
56 4051634380.000000 176.697500 0.000216127
57 4051634460.000000 176.854500 0.000216068
58 4051634540.000000 177.009500 0.000216068
59 4051634620.000000 177.164000 0.000216157
60 4051634700.000000 177.318000 0.000216068
