# SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2464278103.000000 207.971500 0.000166507
1 2464278180.000000 208.126000 0.000166447
2 2464278260.000000 208.281000 0.000166417
3 2464278340.000000 208.429500 0.000166447
4 2464278420.000000 208.574500 0.000166447
5 2464278500.000000 208.724000 0.000166447
6 2464278580.000000 208.878000 0.000166507
7 2464278660.000000 209.030000 0.000166447
8 2464278740.000000 209.187500 0.000166357
9 2464278820.000000 209.340500 0.000166238
10 2464278900.000000 209.496000 0.000166208
11 2464278980.000000 209.648000 0.000166179
12 2464279060.000000 209.802000 0.000166268
13 2464279140.000000 209.959000 0.000166328
14 2464279220.000000 210.112500 0.000166328
15 2464279300.000000 210.268000 0.000166447
16 2464279380.000000 210.421000 0.000166447
17 2464279460.000000 210.577000 0.000166417
18 2464279540.000000 210.731000 0.000166268
19 2464279620.000000 210.884500 0.000166089
20 2464279700.000000 211.043500 0.00016603
21 2464279780.000000 211.196000 0.000166089
22 2464279860.000000 211.349500 0.000166179
23 2464279940.000000 211.507500 0.000166298
24 2464280020.000000 211.658500 0.000166447
25 2464280100.000000 211.816000 0.000166566
26 2464280180.000000 211.973000 0.000166417
27 2464280260.000000 212.127500 0.000166298
28 2464280340.000000 212.283000 0.000166149
