# SAMPLE - ONE-ARM
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4046013720.000000 168.035500 0.000155927
1 4046013820.000000 168.209500 0.000155897
2 4046013900.000000 168.362500 0.000155867
3 4046013980.000000 168.516000 0.000155897
4 4046014060.000000 168.666000 0.000155807
5 4046014140.000000 168.818000 0.000155837
6 4046014220.000000 168.969000 0.000155778
7 4046014300.000000 169.121500 0.000155837
8 4046014380.000000 169.275500 0.000155837
9 4046014460.000000 169.429000 0.000155867
10 4046014540.000000 169.586500 0.000155837
11 4046014620.000000 169.738000 0.000155897
12 4046014700.000000 169.893500 0.000155837
13 4046014780.000000 170.047000 0.000155837
14 4046014860.000000 170.201000 0.000155718
15 4046014940.000000 170.359000 0.000155837
16 4046015020.000000 170.511000 0.000155867
17 4046015100.000000 170.665000 0.000155778
18 4046015180.000000 170.820500 0.000155778
19 4046015260.000000 170.977000 0.000155837
20 4046015340.000000 171.129000 0.000155778
21 4046015420.000000 171.285000 0.000155837
22 4046015500.000000 171.442500 0.000155748
23 4046015580.000000 171.601000 0.000155837
24 4046015660.000000 171.753500 0.000155807
25 4046015740.000000 171.909500 0.000155718
26 4046015820.000000 172.065500 0.000155748
27 4046015900.000000 172.221000 0.000155778
28 4046015980.000000 172.376000 0.000155778
29 4046016060.000000 172.531000 0.000155718
30 4046016140.000000 172.685500 0.000155718
31 4046016220.000000 172.843500 0.000155718
32 4046016300.000000 172.998000 0.000155778
33 4046016380.000000 173.155500 0.000155748
34 4046016460.000000 173.307000 0.000155778
35 4046016540.000000 173.463000 0.000155807
36 4046016620.000000 173.617500 0.000155718
37 4046016700.000000 173.768000 0.000155718
38 4046016780.000000 173.926500 0.000155688
39 4046016860.000000 174.082500 0.000155748
40 4046016940.000000 174.237000 0.000155718
41 4046017020.000000 174.390500 0.000155688
42 4046017100.000000 174.545500 0.000155688
43 4046017180.000000 174.703000 0.000155748
44 4046017260.000000 174.858000 0.000155748
45 4046017340.000000 175.010000 0.000155718
46 4046017420.000000 175.166500 0.000155718
47 4046017500.000000 175.322500 0.000155718
48 4046017580.000000 175.474500 0.000155718
49 4046017660.000000 175.631500 0.000155688
50 4046017740.000000 175.785000 0.000155658
51 4046017821.000000 175.940000 0.000155688
52 4046017900.000000 176.096000 0.000155718
53 4046017980.000000 176.253000 0.000155688
54 4046018060.000000 176.407500 0.000155688
55 4046018140.000000 176.562000 0.000155718
56 4046018220.000000 176.719500 0.000155658
57 4046018300.000000 176.873500 0.000155629
58 4046018380.000000 177.029000 0.000155629
59 4046018460.000000 177.185500 0.000155599
