# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 585406720.000000 177.944500 0.000128419
1 585406820.000000 178.055500 0.000128449
2 585406900.000000 178.167000 0.000128449
3 585406980.000000 178.279000 0.000128419
4 585407060.000000 178.394500 0.00012836
5 585407140.000000 178.509000 0.000128419
6 585407220.000000 178.623000 0.000128389
7 585407300.000000 178.737500 0.000128389
8 585407380.000000 178.853000 0.000128389
9 585407460.000000 178.970500 0.0001283
10 585407540.000000 179.082500 0.000128449
11 585407620.000000 179.200500 0.000128389
12 585407700.000000 179.311500 0.00012833
13 585407780.000000 179.430000 0.000128389
14 585407860.000000 179.544000 0.00012827
15 585407940.000000 179.657500 0.0001283
16 585408020.000000 179.774500 0.000128389
17 585408100.000000 179.889500 0.000128389
18 585408180.000000 180.005000 0.00012836
19 585408260.000000 180.117500 0.00012833
20 585408340.000000 180.236500 0.00012836
21 585408420.000000 180.350000 0.00012833
22 585408500.000000 180.465000 0.00012833
23 585408580.000000 180.576500 0.00012833
24 585408660.000000 180.695000 0.000128389
25 585408740.000000 180.809000 0.0001283
26 585408820.000000 180.924000 0.000128419
27 585408900.000000 181.039500 0.0001283
28 585408980.000000 181.155000 0.00012833
29 585409060.000000 181.271500 0.0001283
30 585409140.000000 181.387000 0.000128389
31 585409220.000000 181.503500 0.000128389
32 585409300.000000 181.618000 0.00012836
33 585409380.000000 181.737500 0.00012836
34 585409460.000000 181.853000 0.00012833
35 585409540.000000 181.971000 0.00012836
36 585409620.000000 182.085000 0.00012833
37 585409700.000000 182.200000 0.0001283
38 585409780.000000 182.317000 0.000128389
39 585409860.000000 182.429000 0.000128419
40 585409940.000000 182.547500 0.00012833
41 585410020.000000 182.661500 0.00012827
42 585410100.000000 182.778500 0.00012827
43 585410180.000000 182.893500 0.0001283
44 585410260.000000 183.012500 0.00012833
45 585410340.000000 183.124000 0.00012827
46 585410420.000000 183.242000 0.000128211
47 585410500.000000 183.358500 0.00012824
48 585410580.000000 183.471500 0.00012824
49 585410660.000000 183.587500 0.0001283
50 585410740.000000 183.700000 0.000128211
51 585410820.000000 183.816000 0.00012824
52 585410900.000000 183.931000 0.000128151
53 585410980.000000 184.048000 0.000128181
54 585411060.000000 184.162000 0.00012824
55 585411140.000000 184.280000 0.00012827
56 585411220.000000 184.393000 0.00012824
57 585411300.000000 184.509000 0.00012827
58 585411380.000000 184.625000 0.00012827
59 585411460.000000 184.737000 0.000128181
60 585411540.000000 184.854500 0.00012824
61 585411620.000000 184.968000 0.00012824
62 585411700.000000 185.086500 0.00012824
63 585411780.000000 185.200000 0.0001283
64 585411860.000000 185.317000 0.00012827
65 585411940.000000 185.428000 0.00012824
66 585412020.000000 185.547000 0.000128181
67 585412100.000000 185.660000 0.000128211
68 585412180.000000 185.778500 0.00012824
69 585412260.000000 185.893500 0.000128211
70 585412340.000000 186.007000 0.00012824
71 585412420.000000 186.123500 0.000128211
72 585412500.000000 186.240000 0.000128181
73 585412580.000000 186.354000 0.00012833
74 585412660.000000 186.469500 0.00012827
75 585412740.000000 186.585500 0.00012827
76 585412820.000000 186.700000 0.0001283
77 585412900.000000 186.818500 0.00012827
78 585412980.000000 186.930500 0.0001283
79 585413060.000000 187.048000 0.000128211
80 585413140.000000 187.165000 0.00012824
81 585413220.000000 187.280500 0.00012827
82 585413300.000000 187.396000 0.00012827
83 585413380.000000 187.510000 0.0001283
84 585413460.000000 187.628000 0.00012824
85 585413540.000000 187.740000 0.00012827
86 585413620.000000 187.860500 0.00012827
87 585413700.000000 187.971000 0.0001283
88 585413780.000000 188.090000 0.000128211
89 585413860.000000 188.205000 0.00012827
90 585413940.000000 188.320500 0.0001283
91 585414020.000000 188.435000 0.000128181
92 585414100.000000 188.551500 0.00012827
93 585414180.000000 188.667000 0.00012824
94 585414260.000000 188.779000 0.000128181
95 585414340.000000 188.896000 0.00012827
96 585414420.000000 189.010000 0.00012824
97 585414500.000000 189.125500 0.00012824
98 585414580.000000 189.241000 0.00012827
99 585414660.000000 189.359500 0.0001283
100 585414740.000000 189.472500 0.00012827
101 585414820.000000 189.588000 0.00012827
102 585414900.000000 189.703500 0.0001283
103 585414980.000000 189.817000 0.0001283
104 585415060.000000 189.933000 0.00012827
105 585415140.000000 190.048000 0.00012833
106 585415220.000000 190.163500 0.000128389
107 585415300.000000 190.277000 0.00012836
108 585415380.000000 190.394000 0.0001283
109 585415460.000000 190.507000 0.0001283
110 585415540.000000 190.625500 0.00012833
111 585415620.000000 190.740500 0.00012833
112 585415700.000000 190.854000 0.000128389
113 585415780.000000 190.967000 0.000128389
114 585415860.000000 191.083500 0.0001283
115 585415940.000000 191.199500 0.00012836
116 585416020.000000 191.314000 0.0001283
117 585416100.000000 191.429500 0.000128419
118 585416180.000000 191.546500 0.000128389
119 585416260.000000 191.665000 0.00012836
120 585416340.000000 191.778500 0.0001283
121 585416420.000000 191.897000 0.000128389
122 585416500.000000 192.011500 0.000128389
123 585416580.000000 192.129500 0.000128389
124 585416660.000000 192.245000 0.000128419
125 585416740.000000 192.358500 0.00012833
126 585416820.000000 192.475500 0.00012833
127 585416900.000000 192.591000 0.000128389
128 585416980.000000 192.707500 0.000128419
129 585417060.000000 192.820000 0.000128389
130 585417140.000000 192.938000 0.00012833
131 585417220.000000 193.052000 0.00012836
132 585417300.000000 193.168500 0.000128389
133 585417380.000000 193.285000 0.00012833
134 585417460.000000 193.401000 0.000128419
135 585417540.000000 193.515500 0.00012836
136 585417620.000000 193.632500 0.00012833
137 585417700.000000 193.748000 0.0001283
138 585417780.000000 193.860500 0.00012833
139 585417860.000000 193.978000 0.00012836
140 585417940.000000 194.092000 0.00012833
141 585418020.000000 194.207500 0.00012833
142 585418100.000000 194.322500 0.00012824
143 585418180.000000 194.437500 0.0001283
144 585418260.000000 194.552500 0.00012833
145 585418340.000000 194.669500 0.000128389
146 585418420.000000 194.782500 0.00012836
147 585418500.000000 194.896500 0.00012827
148 585418580.000000 195.014000 0.00012836
149 585418660.000000 195.127000 0.000128419
150 585418740.000000 195.244000 0.000128419
151 585418820.000000 195.359000 0.000128419
152 585418900.000000 195.475000 0.000128389
153 585418980.000000 195.589500 0.000128389
154 585419060.000000 195.708500 0.000128419
155 585419140.000000 195.821500 0.000128419
156 585419220.000000 195.938500 0.000128449
157 585419300.000000 196.054000 0.000128449
158 585419380.000000 196.167000 0.00012833
159 585419460.000000 196.282500 0.000128449
160 585419540.000000 196.396500 0.000128449
161 585419620.000000 196.514000 0.000128449
162 585419700.000000 196.629000 0.000128419
163 585419780.000000 196.746000 0.000128419
164 585419860.000000 196.859000 0.000128479
165 585419940.000000 196.977500 0.000128479
166 585420020.000000 197.093000 0.000128449
167 585420100.000000 197.210500 0.000128449
168 585420180.000000 197.325000 0.000128449
169 585420260.000000 197.440000 0.000128479
170 585420340.000000 197.557500 0.000128449
171 585420420.000000 197.671500 0.000128538
172 585420500.000000 197.787000 0.000128479
173 585420580.000000 197.900500 0.000128419
174 585420660.000000 198.020500 0.000128419
175 585420740.000000 198.134000 0.000128449
176 585420820.000000 198.250000 0.000128419
177 585420900.000000 198.365500 0.000128449
178 585420980.000000 198.482000 0.000128449
179 585421060.000000 198.595000 0.000128449
180 585421140.000000 198.711000 0.000128479
181 585421220.000000 198.826000 0.000128449
182 585421300.000000 198.938000 0.000128509
183 585421380.000000 199.055500 0.000128509
184 585421460.000000 199.170000 0.000128509
185 585421540.000000 199.285500 0.000128419
186 585421620.000000 199.400500 0.000128509
187 585421700.000000 199.518500 0.000128449
188 585421780.000000 199.632000 0.000128479
189 585421860.000000 199.749500 0.000128509
190 585421940.000000 199.865000 0.000128509
191 585422020.000000 199.978500 0.000128419
192 585422100.000000 200.095500 0.000128509
193 585422180.000000 200.210500 0.000128449
194 585422260.000000 200.325500 0.000128479
195 585422340.000000 200.439500 0.000128449
196 585422420.000000 200.555000 0.000128449
197 585422500.000000 200.669000 0.000128419
198 585422580.000000 200.786500 0.000128479
199 585422660.000000 200.898500 0.000128389
