# SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 394687441.000000 168.016500 0.000187398
1 394687520.000000 168.155000 0.000187368
2 394687600.000000 168.310000 0.000187309
3 394687680.000000 168.455500 0.000187249
4 394687760.000000 168.607500 0.000187338
5 394687840.000000 168.763000 0.000187487
6 394687920.000000 168.916000 0.000187458
7 394688000.000000 169.072500 0.000187487
8 394688080.000000 169.224000 0.000187428
9 394688160.000000 169.381000 0.000187398
10 394688240.000000 169.537500 0.000187368
11 394688320.000000 169.688500 0.000187309
12 394688400.000000 169.845500 0.000187189
13 394688480.000000 169.999500 0.000187279
14 394688560.000000 170.152000 0.000187398
15 394688640.000000 170.308500 0.000187428
16 394688720.000000 170.463500 0.000187636
17 394688800.000000 170.617000 0.000187487
18 394688880.000000 170.771500 0.000187458
19 394688960.000000 170.927500 0.000187458
20 394689040.000000 171.083000 0.000187398
21 394689120.000000 171.239000 0.000187309
22 394689200.000000 171.398000 0.000187279
23 394689280.000000 171.552000 0.000187279
24 394689360.000000 171.707500 0.000187398
25 394689440.000000 171.865500 0.000187547
26 394689520.000000 172.017000 0.000187458
27 394689600.000000 172.174000 0.000187458
28 394689680.000000 172.329500 0.000187398
29 394689760.000000 172.482000 0.000187309
30 394689840.000000 172.641000 0.000187368
31 394689920.000000 172.795000 0.000187428
32 394690000.000000 172.950500 0.000187368
33 394690080.000000 173.106000 0.000187398
34 394690160.000000 173.260500 0.000187428
35 394690240.000000 173.415500 0.000187458
36 394690320.000000 173.568000 0.000187487
37 394690400.000000 173.723500 0.000187517
38 394690480.000000 173.879000 0.000187398
39 394690560.000000 174.031000 0.000187338
40 394690640.000000 174.188500 0.000187338
41 394690720.000000 174.345000 0.000187398
42 394690800.000000 174.498500 0.000187487
43 394690880.000000 174.653500 0.000187428
44 394690960.000000 174.808500 0.000187517
45 394691040.000000 174.962000 0.000187547
46 394691120.000000 175.118500 0.000187547
47 394691200.000000 175.273000 0.000187487
48 394691280.000000 175.428000 0.000187487
49 394691360.000000 175.583500 0.000187398
50 394691440.000000 175.738000 0.000187428
51 394691520.000000 175.893000 0.000187517
52 394691600.000000 176.047000 0.000187517
53 394691680.000000 176.204000 0.000187517
54 394691760.000000 176.359000 0.000187607
55 394691840.000000 176.514500 0.000187666
56 394691920.000000 176.672000 0.000187577
57 394692000.000000 176.824500 0.000187517
58 394692080.000000 176.984000 0.000187577
59 394692160.000000 177.139500 0.000187487
60 394692240.000000 177.291500 0.000187517
61 394692320.000000 177.450000 0.000187517
62 394692400.000000 177.604000 0.000187577
63 394692480.000000 177.759000 0.000187577
64 394692560.000000 177.916000 0.000187636
