# #NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 396466520.000000 168.020500 0.000182421
1 396466600.000000 168.168000 0.000182332
2 396466680.000000 168.325500 0.000182242
3 396466760.000000 168.481000 0.000182391
4 396466840.000000 168.637000 0.000182421
5 396466920.000000 168.793000 0.00018251
6 396467000.000000 168.948500 0.00018257
7 396467080.000000 169.102500 0.00018263
8 396467160.000000 169.258000 0.0001826
9 396467240.000000 169.414000 0.00018263
10 396467320.000000 169.567000 0.000182481
11 396467400.000000 169.720500 0.000182421
12 396467480.000000 169.877000 0.000182361
13 396467560.000000 170.028000 0.000182332
14 396467640.000000 170.183500 0.000182451
15 396467720.000000 170.341000 0.00018257
16 396467800.000000 170.492500 0.0001826
17 396467880.000000 170.649000 0.00018257
18 396467960.000000 170.804500 0.00018257
19 396468040.000000 170.959000 0.00018251
20 396468120.000000 171.115000 0.000182421
21 396468200.000000 171.273500 0.000182421
22 396468280.000000 171.427000 0.000182451
23 396468360.000000 171.584500 0.000182421
24 396468440.000000 171.739500 0.00018251
25 396468520.000000 171.895000 0.00018251
26 396468600.000000 172.050500 0.00018257
27 396468680.000000 172.203000 0.00018257
28 396468760.000000 172.360500 0.00018254
29 396468840.000000 172.517500 0.000182451
30 396468920.000000 172.671500 0.000182421
31 396469000.000000 172.826000 0.000182421
32 396469080.000000 172.981000 0.000182391
33 396469160.000000 173.137000 0.000182451
34 396469240.000000 173.291000 0.00018251
35 396469320.000000 173.446500 0.000182481
36 396469400.000000 173.601000 0.00018251
37 396469480.000000 173.753000 0.000182481
38 396469560.000000 173.911000 0.000182481
39 396469640.000000 174.065000 0.000182421
40 396469720.000000 174.219500 0.000182361
41 396469800.000000 174.375500 0.000182421
42 396469880.000000 174.531500 0.000182451
43 396469960.000000 174.687000 0.000182481
44 396470040.000000 174.840000 0.00018257
45 396470120.000000 174.995500 0.0001826
46 396470200.000000 175.150500 0.00018254
47 396470280.000000 175.305500 0.000182481
48 396470360.000000 175.462000 0.00018257
49 396470440.000000 175.615500 0.00018254
50 396470520.000000 175.769500 0.0001826
51 396470600.000000 175.926500 0.00018257
52 396470680.000000 176.080000 0.00018263
53 396470760.000000 176.237000 0.000182659
54 396470840.000000 176.391500 0.00018263
55 396470920.000000 176.546000 0.000182719
56 396471000.000000 176.703500 0.00018263
57 396471080.000000 176.857000 0.00018251
58 396471160.000000 177.013500 0.000182481
59 396471240.000000 177.170500 0.00018254
60 396471320.000000 177.323500 0.00018257
61 396471400.000000 177.480000 0.0001826
62 396471480.000000 177.635000 0.000182659
63 396471560.000000 177.790000 0.000182719
