# # NO SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 639616240.000000 168.012000 9.9123e-005
1 639616320.000000 168.167000 9.90336e-005
2 639616400.000000 168.324500 9.90336e-005
3 639616480.000000 168.476000 9.90336e-005
4 639616560.000000 168.631500 9.90932e-005
5 639616640.000000 168.788000 9.90634e-005
6 639616720.000000 168.941500 9.9123e-005
7 639616800.000000 169.097000 9.90336e-005
8 639616880.000000 169.251500 9.90932e-005
9 639616960.000000 169.407000 9.90932e-005
10 639617040.000000 169.563000 9.90932e-005
11 639617120.000000 169.715000 9.90932e-005
12 639617200.000000 169.873000 9.90336e-005
13 639617280.000000 170.026000 9.90038e-005
14 639617360.000000 170.178500 9.90932e-005
15 639617440.000000 170.335500 9.90038e-005
16 639617520.000000 170.488000 9.90336e-005
17 639617600.000000 170.644500 9.8974e-005
18 639617680.000000 170.800000 9.8974e-005
19 639617760.000000 170.951500 9.88548e-005
20 639617840.000000 171.111000 9.87654e-005
21 639617920.000000 171.267000 9.87952e-005
22 639618000.000000 171.420500 9.87654e-005
23 639618080.000000 171.576000 9.89144e-005
24 639618160.000000 171.730500 9.89144e-005
25 639618240.000000 171.889000 9.8974e-005
26 639618320.000000 172.042000 9.90634e-005
27 639618400.000000 172.195500 9.8974e-005
28 639618480.000000 172.354000 9.8974e-005
29 639618560.000000 172.510000 9.89442e-005
30 639618640.000000 172.666500 9.89442e-005
31 639618720.000000 172.821500 9.89442e-005
32 639618800.000000 172.974000 9.89144e-005
33 639618880.000000 173.130000 9.89442e-005
34 639618960.000000 173.284500 9.8974e-005
35 639619040.000000 173.441000 9.8974e-005
36 639619120.000000 173.593500 9.89442e-005
37 639619200.000000 173.748500 9.88846e-005
38 639619280.000000 173.905000 9.89442e-005
39 639619360.000000 174.057500 9.88548e-005
40 639619440.000000 174.214500 9.88846e-005
41 639619520.000000 174.371500 9.88846e-005
42 639619600.000000 174.523000 9.87356e-005
43 639619680.000000 174.680000 9.8825e-005
44 639619760.000000 174.835500 9.87058e-005
45 639619840.000000 174.987000 9.87654e-005
46 639619920.000000 175.144000 9.8825e-005
47 639620000.000000 175.298500 9.87356e-005
48 639620080.000000 175.452500 9.87058e-005
49 639620160.000000 175.609500 9.85865e-005
50 639620240.000000 175.762500 9.86164e-005
51 639620320.000000 175.920500 9.86164e-005
52 639620400.000000 176.073000 9.87058e-005
53 639620480.000000 176.230000 9.86164e-005
54 639620560.000000 176.387500 9.85269e-005
55 639620640.000000 176.539500 9.85269e-005
56 639620720.000000 176.696500 9.85567e-005
57 639620800.000000 176.854000 9.86164e-005
