# # SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 644397263.000000 168.011000 0.00013885
1 644397340.000000 168.161500 0.00013882
2 644397420.000000 168.311000 0.00013885
3 644397500.000000 168.469500 0.00013882
4 644397580.000000 168.620500 0.00013879
5 644397660.000000 168.767500 0.00013879
6 644397740.000000 168.916000 0.00013879
7 644397820.000000 169.068000 0.00013882
8 644397900.000000 169.221000 0.000138731
9 644397980.000000 169.377000 0.00013882
10 644398060.000000 169.531500 0.000138761
11 644398140.000000 169.685000 0.00013879
12 644398220.000000 169.840000 0.00013879
13 644398300.000000 169.994000 0.000138701
14 644398380.000000 170.147000 0.000138671
15 644398460.000000 170.303500 0.000138641
16 644398540.000000 170.459000 0.000138731
17 644398620.000000 170.614500 0.000138761
18 644398700.000000 170.767000 0.000138701
19 644398780.000000 170.923500 0.000138612
20 644398860.000000 171.078000 0.000138522
21 644398940.000000 171.233000 0.000138582
22 644399020.000000 171.391500 0.000138671
23 644399100.000000 171.546000 0.000138671
24 644399180.000000 171.702500 0.000138701
25 644399260.000000 171.857000 0.000138641
26 644399340.000000 172.010000 0.000138671
27 644399420.000000 172.168500 0.000138612
28 644399500.000000 172.321000 0.000138612
29 644399580.000000 172.475500 0.000138641
30 644399660.000000 172.633500 0.000138582
31 644399740.000000 172.786000 0.000138641
32 644399820.000000 172.944500 0.000138552
33 644399900.000000 173.100000 0.000138522
34 644399980.000000 173.252000 0.000138522
35 644400060.000000 173.409000 0.000138522
36 644400140.000000 173.560000 0.000138612
37 644400220.000000 173.718000 0.000138522
38 644400300.000000 173.871500 0.000138582
39 644400380.000000 174.026000 0.000138612
40 644400460.000000 174.183000 0.000138463
41 644400540.000000 174.336500 0.000138522
42 644400620.000000 174.493000 0.000138463
43 644400700.000000 174.650500 0.000138433
44 644400780.000000 174.802000 0.000138314
45 644400860.000000 174.960500 0.000138164
46 644400940.000000 175.113000 0.000138194
47 644401020.000000 175.267000 0.000138135
48 644401100.000000 175.423500 0.000138254
49 644401180.000000 175.576000 0.000138284
50 644401260.000000 175.731500 0.000138373
51 644401340.000000 175.887000 0.000138373
52 644401420.000000 176.041500 0.000138284
53 644401500.000000 176.197500 0.000138343
54 644401580.000000 176.353500 0.000138284
55 644401660.000000 176.510000 0.000138314
56 644401740.000000 176.665000 0.000138254
57 644401820.000000 176.821000 0.000138194
58 644401900.000000 176.979000 0.000138224
59 644401980.000000 177.131000 0.000138254
60 644402060.000000 177.287000 0.000138254
61 644402140.000000 177.442000 0.000138284
62 644402220.000000 177.597000 0.000138164
63 644402300.000000 177.755000 0.000138224
64 644402380.000000 177.910500 0.000138135
