# #NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4050451660.000000 168.007000 0.000216247
1 4050451740.000000 168.161500 0.000216247
2 4050451820.000000 168.318000 0.000216217
3 4050451900.000000 168.473500 0.000216276
4 4050451980.000000 168.630500 0.000216306
5 4050452060.000000 168.788000 0.000216336
6 4050452140.000000 168.942000 0.000216336
7 4050452220.000000 169.100000 0.000216336
8 4050452300.000000 169.251000 0.000216336
9 4050452380.000000 169.405500 0.000216247
10 4050452460.000000 169.560500 0.000216247
11 4050452540.000000 169.714500 0.000216187
12 4050452620.000000 169.870500 0.000216217
13 4050452700.000000 170.024500 0.000216217
14 4050452780.000000 170.176500 0.000216217
15 4050452860.000000 170.333500 0.000216306
16 4050452940.000000 170.488000 0.000216336
17 4050453020.000000 170.641500 0.000216306
18 4050453100.000000 170.797500 0.000216247
19 4050453180.000000 170.949000 0.000216217
20 4050453260.000000 171.107500 0.000216127
21 4050453340.000000 171.266000 0.000216127
22 4050453420.000000 171.420000 0.000216127
23 4050453500.000000 171.577000 0.000216157
24 4050453580.000000 171.733500 0.000216217
25 4050453660.000000 171.888500 0.000216247
26 4050453740.000000 172.042500 0.000216276
27 4050453820.000000 172.199000 0.000216187
28 4050453900.000000 172.353000 0.000216157
29 4050453980.000000 172.508500 0.000216068
30 4050454060.000000 172.668000 0.000216217
31 4050454140.000000 172.820500 0.000216187
32 4050454220.000000 172.978000 0.000216157
33 4050454300.000000 173.134500 0.000216217
34 4050454380.000000 173.285500 0.000216127
35 4050454460.000000 173.442500 0.000216217
36 4050454540.000000 173.596000 0.000216336
37 4050454620.000000 173.750000 0.000216187
38 4050454700.000000 173.904000 0.000216157
39 4050454780.000000 174.060000 0.000216098
40 4050454860.000000 174.216500 0.000216157
41 4050454940.000000 174.370500 0.000216127
42 4050455020.000000 174.524500 0.000216217
43 4050455100.000000 174.678500 0.000216247
44 4050455180.000000 174.835000 0.000216247
45 4050455260.000000 174.991000 0.000216217
46 4050455340.000000 175.144000 0.000216157
47 4050455420.000000 175.297000 0.000216187
48 4050455500.000000 175.452000 0.000216157
49 4050455580.000000 175.608500 0.000216098
50 4050455660.000000 175.762000 0.000216127
51 4050455740.000000 175.917500 0.000216157
52 4050455820.000000 176.070500 0.000216157
53 4050455900.000000 176.228000 0.000216247
54 4050455980.000000 176.383000 0.000216127
55 4050456060.000000 176.537000 0.000216157
56 4050456140.000000 176.695500 0.000216127
57 4050456220.000000 176.849500 0.000216098
58 4050456300.000000 177.006500 0.000216098
59 4050456380.000000 177.162500 0.000216038
60 4050456460.000000 177.316500 0.000216068
